date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Proportion of Level 4 and above ,Proportion of Level 3,Proportion of Level 2,Proportion of Level 1 and entry,Proportion of None
2021,Southend-on-Sea,E06000033,146410,28823,17593,23151,7432,25291,39832,4288,27.21%,17.27%,15.81%,12.02%,19.69%
2021,Thurrock,E06000034,136363,29443,16640,21251,6757,22151,35723,4398,26.20%,16.24%,15.58%,12.20%,21.59%
2021,Medway,E06000035,222758,43158,26898,35426,13625,40009,57001,6641,25.59%,17.96%,15.90%,12.07%,19.37%
2021,Bracknell Forest,E06000036,99933,13183,10581,14929,5171,17874,35578,2617,35.60%,17.89%,14.94%,10.59%,13.19%
2021,West Berkshire,E06000037,130736,18484,12985,18954,6788,22048,48376,3101,37.00%,16.86%,14.50%,9.93%,14.14%
2021,Reading,E06000038,141362,22361,12932,15070,5853,23734,57149,4263,40.43%,16.79%,10.66%,9.15%,15.82%
2021,Slough,E06000039,118934,23966,12764,14336,5004,16181,41423,5260,34.83%,13.61%,12.05%,10.73%,20.15%
2021,Windsor and Maidenhead,E06000040,123675,15552,10077,15918,5060,18341,55603,3124,44.96%,14.83%,12.87%,8.15%,12.57%
2021,Wokingham,E06000041,140821,14671,11396,17773,5746,22992,65047,3196,46.19%,16.33%,12.62%,8.09%,10.42%
2021,Milton Keynes,E06000042,224831,35577,24422,32011,10477,35371,80545,6428,35.82%,15.73%,14.24%,10.86%,15.82%
2021,Brighton and Hove,E06000043,235367,29215,16545,25067,8052,46359,104790,5339,44.52%,19.70%,10.65%,7.03%,12.41%
2021,Portsmouth,E06000044,170821,29766,16434,22404,9093,37296,51190,4638,29.97%,21.83%,13.12%,9.62%,17.43%
2021,Southampton,E06000045,204368,35381,19470,25671,11096,41992,64663,6095,31.64%,20.55%,12.56%,9.53%,17.31%
2021,Isle of Wight,E06000046,119586,22064,13355,17501,8926,21444,32783,3513,27.41%,17.93%,14.63%,11.17%,18.45%
2021,County Durham,E06000047,433958,90804,41359,61724,27061,86414,116019,10577,26.74%,19.91%,14.22%,9.53%,20.92%
2021,Cheshire East,E06000049,329473,49524,28571,45115,19394,55373,123785,7711,37.57%,16.81%,13.69%,8.67%,15.03%
2021,Cheshire West and Chester,E06000050,295358,46771,27467,40467,15914,52461,105387,6891,35.68%,17.76%,13.70%,9.30%,15.84%
2021,Shropshire,E06000051,272246,45573,26154,40900,16564,47417,88502,7136,32.51%,17.42%,15.02%,9.61%,16.74%
2021,Cornwall,E06000052,477425,77919,47676,72367,31455,89955,145890,12163,30.56%,18.84%,15.16%,9.99%,16.32%
2021,Isles of Scilly,E06000053,1730,213,119,272,88,341,655,42,37.86%,19.71%,15.72%,6.88%,12.31%
