date,geography,geography code,UK armed forces veteran indicator: Total: All usual residents,UK armed forces veteran indicator: Previously served in UK armed forces,UK armed forces veteran indicator: Previously served in UK reserve armed forces,UK armed forces veteran indicator: Previously served in both regular and reserve UK armed forces,UK armed forces veteran indicator: Has not previously served in any UK armed forces,Proportion
2021,North Tyneside,E08000022,171513,5810,2571,425,162707,3.39%
2021,South Tyneside,E08000023,121292,4549,1572,343,114828,3.75%
2021,Sunderland,E08000024,226070,8080,2237,502,215251,3.57%
2021,Birmingham,E08000025,889623,12256,4814,701,871852,1.38%
2021,Coventry,E08000026,276873,5111,1608,293,269861,1.85%
2021,Dudley,E08000027,262488,6166,1797,347,254178,2.35%
2021,Sandwell,E08000028,266029,4225,1375,244,260185,1.59%
2021,Solihull,E08000029,174501,4335,1288,228,168650,2.48%
2021,Walsall,E08000030,223100,4830,1365,291,216614,2.16%
2021,Wolverhampton,E08000031,208440,3935,1321,240,202944,1.89%
2021,Bradford,E08000032,421575,9412,2461,518,409184,2.23%
2021,Calderdale,E08000033,166634,5082,1214,261,160077,3.05%
2021,Kirklees,E08000034,346275,8942,2371,478,334484,2.58%
2021,Leeds,E08000035,658471,14811,4730,860,638070,2.25%
2021,Wakefield,E08000036,287538,9067,2144,512,275815,3.15%
2021,Gateshead,E08000037,161749,5026,2032,300,154391,3.11%
2021,City of London,E09000001,8004,77,61,6,7860,0.96%
2021,Barking and Dagenham,E09000002,161747,1436,662,72,159577,0.89%
2021,Barnet,E09000003,309354,2569,1197,151,305437,0.83%
2021,Bexley,E09000004,195830,3522,1242,194,190872,1.80%
2021,Brent,E09000005,275143,1304,740,64,273035,0.47%
2021,Bromley,E09000006,265088,4589,1809,275,258415,1.73%
2021,Camden,E09000007,177908,1146,684,62,176016,0.64%
2021,Croydon,E09000008,310398,3357,1574,208,305259,1.08%
2021,Ealing,E09000009,295375,2107,1063,128,292077,0.71%
2021,Enfield,E09000010,257185,2148,1034,140,253863,0.84%
2021,Greenwich,E09000011,229747,3186,1154,143,225264,1.39%
2021,Hackney,E09000012,209468,878,692,63,207835,0.42%
